framework,date,questions
marionette,2012-07-01 - 2012-08-01,38
marionette,2010-01-01 - 2010-02-01,0
marionette,2011-02-01 - 2011-03-01,0
marionette,2011-09-01 - 2011-10-01,0
marionette,2010-03-01 - 2010-04-01,0
marionette,2013-02-01 - 2013-03-01,41
marionette,2010-02-01 - 2010-03-01,0
marionette,2011-06-01 - 2011-07-01,0
marionette,2010-04-01 - 2010-05-01,0
marionette,2014-02-01 - 2014-03-01,78
marionette,2013-07-01 - 2013-08-01,90
marionette,2012-03-01 - 2012-04-01,1
marionette,2010-10-01 - 2010-11-01,0
marionette,2011-11-01 - 2011-12-01,0
marionette,2011-01-01 - 2011-02-01,0
marionette,2012-06-01 - 2012-07-01,35
marionette,2012-09-01 - 2012-10-01,23
marionette,2012-12-01 - 2013-01-01,28
marionette,2011-04-01 - 2011-05-01,0
marionette,2010-08-01 - 2010-09-01,0
marionette,2011-05-01 - 2011-06-01,0
marionette,2013-09-01 - 2013-10-01,75
marionette,2012-05-01 - 2012-06-01,17
marionette,2014-09-01 - 2014-10-01,70
marionette,2013-04-01 - 2013-05-01,56
marionette,2012-04-01 - 2012-05-01,3
marionette,2014-06-01 - 2014-07-01,49
marionette,2014-07-01 - 2014-08-01,54
marionette,2010-05-01 - 2010-06-01,0
marionette,2013-01-01 - 2013-02-01,35
marionette,2013-12-01 - 2014-01-01,46
marionette,2013-06-01 - 2013-07-01,66
marionette,2013-08-01 - 2013-09-01,75
marionette,2013-10-01 - 2013-11-01,77
marionette,2013-05-01 - 2013-06-01,76
marionette,2011-12-01 - 2012-01-01,0
marionette,2012-11-01 - 2012-12-01,23
marionette,2014-04-01 - 2014-05-01,66
marionette,2011-10-01 - 2011-11-01,0
marionette,2010-06-01 - 2010-07-01,0
marionette,2013-11-01 - 2013-12-01,82
marionette,2013-03-01 - 2013-04-01,56
marionette,2012-02-01 - 2012-03-01,2
marionette,2011-07-01 - 2011-08-01,0
marionette,2012-08-01 - 2012-09-01,41
marionette,2014-05-01 - 2014-06-01,53
marionette,2014-08-01 - 2014-09-01,51
marionette,2010-07-01 - 2010-08-01,0
marionette,2012-10-01 - 2012-11-01,28
marionette,2010-12-01 - 2011-01-01,0
